year,week,rank,team,record,scraped_at
2016,Week 14,20,LSU,7-4,2025-08-09T09:48:28.665123
2016,Week 14,21,Tennessee,8-4,2025-08-09T09:48:28.665202
2016,Week 14,22,Virginia Tech,9-4,2025-08-09T09:48:28.665282
2016,Week 14,23,Pittsburgh,8-4,2025-08-09T09:48:28.665362
2016,Week 14,24,Temple,10-3,2025-08-09T09:48:28.665441
2016,Week 14,25,Navy,9-3,2025-08-09T09:48:28.665521
2017,Week 10,1,Georgia,9-0,2025-08-09T09:48:04.724688
2017,Week 10,2,Alabama,9-0,2025-08-09T09:48:04.724780
2017,Week 10,3,Notre Dame,8-1,2025-08-09T09:48:04.724862
2017,Week 10,4,Clemson,8-1,2025-08-09T09:48:04.724941
2017,Week 10,5,Oklahoma,8-1,2025-08-09T09:48:04.725020
2017,Week 10,6,TCU,8-1,2025-08-09T09:48:04.725099
2017,Week 10,7,Miami,8-0,2025-08-09T09:48:04.725178
2017,Week 10,8,Wisconsin,9-0,2025-08-09T09:48:04.725257
2017,Week 10,9,Washington,8-1,2025-08-09T09:48:04.725334
2017,Week 10,10,Auburn,7-2,2025-08-09T09:48:04.725412
2017,Week 10,11,Southern California,8-2,2025-08-09T09:48:04.725490
2017,Week 10,12,Michigan State,7-2,2025-08-09T09:48:04.725568
2017,Week 10,13,Ohio State,7-2,2025-08-09T09:48:04.725646
2017,Week 10,14,Penn State,7-2,2025-08-09T09:48:04.725725
2017,Week 10,15,Oklahoma State,7-2,2025-08-09T09:48:04.725804
2017,Week 10,16,Mississippi State,7-2,2025-08-09T09:48:04.725881
2017,Week 10,17,Virginia Tech,7-2,2025-08-09T09:48:04.725958
2017,Week 10,18,UCF,8-0,2025-08-09T09:48:04.726036
2017,Week 10,19,Washington State,8-2,2025-08-09T09:48:04.726114
2017,Week 10,20,Iowa,6-3,2025-08-09T09:48:04.726191
2017,Week 10,21,Iowa State,6-3,2025-08-09T09:48:04.726268
2017,Week 10,22,Memphis,8-1,2025-08-09T09:48:04.726345
2017,Week 10,23,NC State,6-3,2025-08-09T09:48:04.726424
2017,Week 10,24,LSU,6-3,2025-08-09T09:48:04.726502
2017,Week 10,25,Northwestern,6-3,2025-08-09T09:48:04.726579
2017,Week 11,1,Alabama,10-0,2025-08-09T09:47:54.429907
2017,Week 11,2,Clemson,9-1,2025-08-09T09:47:54.430001
2017,Week 11,3,Miami,9-0,2025-08-09T09:47:54.430084
2017,Week 11,4,Oklahoma,9-1,2025-08-09T09:47:54.430164
2017,Week 11,5,Wisconsin,10-0,2025-08-09T09:47:54.430244
2017,Week 11,6,Auburn,8-2,2025-08-09T09:47:54.430323
2017,Week 11,7,Georgia,9-1,2025-08-09T09:47:54.430401
2017,Week 11,8,Notre Dame,8-2,2025-08-09T09:47:54.430532
2017,Week 11,9,Ohio State,8-2,2025-08-09T09:47:54.430614
2017,Week 11,10,Penn State,8-2,2025-08-09T09:47:54.430695
2017,Week 11,11,Southern California,9-2,2025-08-09T09:47:54.430775
2017,Week 11,12,TCU,8-2,2025-08-09T09:47:54.430855
2017,Week 11,13,Oklahoma State,8-2,2025-08-09T09:47:54.430934
2017,Week 11,14,Washington State,9-2,2025-08-09T09:47:54.431013
2017,Week 11,15,UCF,9-0,2025-08-09T09:47:54.431092
2017,Week 11,16,Mississippi State,7-3,2025-08-09T09:47:54.431170
2017,Week 11,17,Michigan State,7-3,2025-08-09T09:47:54.431248
2017,Week 11,18,Washington,8-2,2025-08-09T09:47:54.431327
2017,Week 11,19,NC State,7-3,2025-08-09T09:47:54.431405
2017,Week 11,20,LSU,7-3,2025-08-09T09:47:54.431485
2017,Week 11,21,Memphis,8-1,2025-08-09T09:47:54.431563
2017,Week 11,22,Stanford,7-3,2025-08-09T09:47:54.431642
2017,Week 11,23,Northwestern,7-3,2025-08-09T09:47:54.431720
2017,Week 11,24,Michigan,8-2,2025-08-09T09:47:54.431798
2017,Week 11,25,Boise State,8-2,2025-08-09T09:47:54.431877
2017,Week 12,1,Alabama,11-0,2025-08-09T09:47:44.126272
2017,Week 12,2,Miami,10-0,2025-08-09T09:47:44.126370
2017,Week 12,3,Clemson,10-1,2025-08-09T09:47:44.126473
2017,Week 12,4,Oklahoma,10-1,2025-08-09T09:47:44.126554
2017,Week 12,5,Wisconsin,11-0,2025-08-09T09:47:44.126634
2017,Week 12,6,Auburn,9-2,2025-08-09T09:47:44.126714
2017,Week 12,7,Georgia,10-1,2025-08-09T09:47:44.126794
2017,Week 12,8,Notre Dame,9-2,2025-08-09T09:47:44.126873
2017,Week 12,9,Ohio State,9-2,2025-08-09T09:47:44.126974
2017,Week 12,10,Penn State,9-2,2025-08-09T09:47:44.127057
2017,Week 12,11,Southern California,10-2,2025-08-09T09:47:44.127211
2017,Week 12,12,TCU,9-2,2025-08-09T09:47:44.127295
2017,Week 12,13,Washington State,9-2,2025-08-09T09:47:44.127376
2017,Week 12,14,Mississippi State,8-3,2025-08-09T09:47:44.127455
2017,Week 12,15,UCF,10-0,2025-08-09T09:47:44.127558
2017,Week 12,16,Michigan State,8-3,2025-08-09T09:47:44.127645
2017,Week 12,17,Washington,9-2,2025-08-09T09:47:44.127747
2017,Week 12,18,LSU,8-3,2025-08-09T09:47:44.127827
2017,Week 12,19,Oklahoma State,8-3,2025-08-09T09:47:44.127907
2017,Week 12,20,Memphis,9-1,2025-08-09T09:47:44.128011
2017,Week 12,21,Stanford,8-3,2025-08-09T09:47:44.128096
2017,Week 12,22,Northwestern,8-3,2025-08-09T09:47:44.128194
2017,Week 12,23,Boise State,9-2,2025-08-09T09:47:44.128274
2017,Week 12,24,South Carolina,8-3,2025-08-09T09:47:44.128374
2017,Week 12,25,Virginia Tech,8-3,2025-08-09T09:47:44.128462
2017,Week 13,1,Clemson,11-1,2025-08-09T09:47:33.810774
2017,Week 13,2,Auburn,10-2,2025-08-09T09:47:33.810865
2017,Week 13,3,Oklahoma,11-1,2025-08-09T09:47:33.810946
2017,Week 13,4,Wisconsin,12-0,2025-08-09T09:47:33.811026
2017,Week 13,5,Alabama,11-1,2025-08-09T09:47:33.811106
2017,Week 13,6,Georgia,11-1,2025-08-09T09:47:33.811185
2017,Week 13,7,Miami,10-1,2025-08-09T09:47:33.811263
2017,Week 13,8,Ohio State,10-2,2025-08-09T09:47:33.811342
2017,Week 13,9,Penn State,10-2,2025-08-09T09:47:33.811420
2017,Week 13,10,Southern California,10-2,2025-08-09T09:47:33.811497
2017,Week 13,11,TCU,10-2,2025-08-09T09:47:33.811575
2017,Week 13,12,Stanford,9-3,2025-08-09T09:47:33.811653
2017,Week 13,13,Washington,10-2,2025-08-09T09:47:33.811731
2017,Week 13,14,UCF,11-0,2025-08-09T09:47:33.811810
2017,Week 13,15,Notre Dame,9-3,2025-08-09T09:47:33.811888
2017,Week 13,16,Michigan State,9-3,2025-08-09T09:47:33.811965
2017,Week 13,17,LSU,9-3,2025-08-09T09:47:33.812043
2017,Week 13,18,Washington State,9-3,2025-08-09T09:47:33.812122
2017,Week 13,19,Oklahoma State,9-3,2025-08-09T09:47:33.812200
2017,Week 13,20,Memphis,10-1,2025-08-09T09:47:33.812279
2017,Week 13,21,Northwestern,9-3,2025-08-09T09:47:33.812357
2017,Week 13,22,Virginia Tech,9-3,2025-08-09T09:47:33.812434
2017,Week 13,23,Mississippi State,8-4,2025-08-09T09:47:33.812513
2017,Week 13,24,NC State,8-4,2025-08-09T09:47:33.812591
2017,Week 13,25,Fresno State,9-3,2025-08-09T09:47:33.812669
2017,Week 14,1,Clemson,12-1,2025-08-09T09:47:23.506480
2017,Week 14,2,Oklahoma,12-1,2025-08-09T09:47:23.506573
2017,Week 14,3,Georgia,12-1,2025-08-09T09:47:23.506656
2017,Week 14,4,Alabama,11-1,2025-08-09T09:47:23.506737
2017,Week 14,5,Ohio State,11-2,2025-08-09T09:47:23.506844
2017,Week 14,6,Wisconsin,12-1,2025-08-09T09:47:23.506976
2017,Week 14,7,Auburn,10-3,2025-08-09T09:47:23.507093
2017,Week 14,8,Southern California,11-2,2025-08-09T09:47:23.507176
2017,Week 14,9,Penn State,10-2,2025-08-09T09:47:23.507330
2017,Week 14,10,Miami,10-2,2025-08-09T09:47:23.507410
2017,Week 14,11,Washington,10-2,2025-08-09T09:47:23.507489
2017,Week 14,12,UCF,12-0,2025-08-09T09:47:23.507569
2017,Week 14,13,Stanford,9-4,2025-08-09T09:47:23.507650
2017,Week 14,14,Notre Dame,9-3,2025-08-09T09:47:23.507731
2017,Week 14,15,TCU,10-3,2025-08-09T09:47:23.507834
2017,Week 14,16,Michigan State,9-3,2025-08-09T09:47:23.507935
2017,Week 14,17,LSU,9-3,2025-08-09T09:47:23.508020
2017,Week 14,18,Washington State,9-3,2025-08-09T09:47:23.508106
2017,Week 14,19,Oklahoma State,9-3,2025-08-09T09:47:23.508191
2017,Week 14,20,Memphis,10-2,2025-08-09T09:47:23.508272
2017,Week 14,21,Northwestern,9-3,2025-08-09T09:47:23.508355
2017,Week 14,22,Virginia Tech,9-3,2025-08-09T09:47:23.508437
2017,Week 14,23,Mississippi State,8-4,2025-08-09T09:47:23.508519
2017,Week 14,24,NC State,8-4,2025-08-09T09:47:23.508600
2017,Week 14,25,Boise State,10-3,2025-08-09T09:47:23.508683
2018,Week 10,1,Alabama,9-0,2025-08-09T09:46:59.426810
2018,Week 10,2,Clemson,9-0,2025-08-09T09:46:59.426900
2018,Week 10,3,Notre Dame,9-0,2025-08-09T09:46:59.426979
2018,Week 10,4,Michigan,8-1,2025-08-09T09:46:59.427057
2018,Week 10,5,Georgia,8-1,2025-08-09T09:46:59.427134
2018,Week 10,6,Oklahoma,8-1,2025-08-09T09:46:59.427210
2018,Week 10,7,LSU,7-2,2025-08-09T09:46:59.427286
2018,Week 10,8,Washington State,8-1,2025-08-09T09:46:59.427363
2018,Week 10,9,West Virginia,7-1,2025-08-09T09:46:59.427439
2018,Week 10,10,Ohio State,8-1,2025-08-09T09:46:59.427515
2018,Week 10,11,Kentucky,7-2,2025-08-09T09:46:59.427592
2018,Week 10,12,UCF,8-0,2025-08-09T09:46:59.427669
2018,Week 10,13,Syracuse,7-2,2025-08-09T09:46:59.427745
2018,Week 10,14,NC State,6-2,2025-08-09T09:46:59.427820
2018,Week 10,15,Florida,6-3,2025-08-09T09:46:59.427896
2018,Week 10,16,Mississippi State,6-3,2025-08-09T09:46:59.427972
2018,Week 10,17,Boston College,7-2,2025-08-09T09:46:59.428048
2018,Week 10,18,Michigan State,6-3,2025-08-09T09:46:59.428124
2018,Week 10,19,Texas,6-3,2025-08-09T09:46:59.428200
2018,Week 10,20,Penn State,6-3,2025-08-09T09:46:59.428276
2018,Week 10,21,Iowa,6-3,2025-08-09T09:46:59.428352
2018,Week 10,22,Iowa State,5-3,2025-08-09T09:46:59.428427
2018,Week 10,23,Fresno State,8-1,2025-08-09T09:46:59.428503
2018,Week 10,24,Auburn,6-3,2025-08-09T09:46:59.428579
2018,Week 10,25,Washington,7-3,2025-08-09T09:46:59.428656
2018,Week 11,1,Alabama,10-0,2025-08-09T09:46:49.108880
2018,Week 11,2,Clemson,10-0,2025-08-09T09:46:49.108970
2018,Week 11,3,Notre Dame,10-0,2025-08-09T09:46:49.109049
2018,Week 11,4,Michigan,9-1,2025-08-09T09:46:49.109126
2018,Week 11,5,Georgia,9-1,2025-08-09T09:46:49.109202
2018,Week 11,6,Oklahoma,9-1,2025-08-09T09:46:49.109278
2018,Week 11,7,LSU,8-2,2025-08-09T09:46:49.109355
2018,Week 11,8,Washington State,9-1,2025-08-09T09:46:49.109431
2018,Week 11,9,West Virginia,8-1,2025-08-09T09:46:49.109508
2018,Week 11,10,Ohio State,9-1,2025-08-09T09:46:49.109584
2018,Week 11,11,UCF,9-0,2025-08-09T09:46:49.109659
2018,Week 11,12,Syracuse,8-2,2025-08-09T09:46:49.109735
2018,Week 11,13,Florida,7-3,2025-08-09T09:46:49.109811
2018,Week 11,14,Penn State,7-3,2025-08-09T09:46:49.109887
2018,Week 11,15,Texas,7-3,2025-08-09T09:46:49.109963
2018,Week 11,16,Iowa State,6-3,2025-08-09T09:46:49.110039
2018,Week 11,17,Kentucky,7-3,2025-08-09T09:46:49.110115
2018,Week 11,18,Washington,7-3,2025-08-09T09:46:49.110192
2018,Week 11,19,Utah,7-3,2025-08-09T09:46:49.110269
2018,Week 11,20,Boston College,7-3,2025-08-09T09:46:49.110344
2018,Week 11,21,Mississippi State,6-4,2025-08-09T09:46:49.110419
2018,Week 11,22,Northwestern,6-4,2025-08-09T09:46:49.110494
2018,Week 11,23,Utah State,9-1,2025-08-09T09:46:49.110571
2018,Week 11,24,Cincinnati,9-1,2025-08-09T09:46:49.110647
2018,Week 11,25,Boise State,8-2,2025-08-09T09:46:49.110722
2018,Week 12,1,Alabama,11-0,2025-08-09T09:46:38.799176
2018,Week 12,2,Clemson,11-0,2025-08-09T09:46:38.799270
2018,Week 12,3,Notre Dame,11-0,2025-08-09T09:46:38.799351
2018,Week 12,4,Michigan,10-1,2025-08-09T09:46:38.799431
2018,Week 12,5,Georgia,10-1,2025-08-09T09:46:38.799510
2018,Week 12,6,Oklahoma,10-1,2025-08-09T09:46:38.799590
2018,Week 12,7,LSU,9-2,2025-08-09T09:46:38.799671
2018,Week 12,8,Washington State,10-1,2025-08-09T09:46:38.799751
2018,Week 12,9,UCF,10-0,2025-08-09T09:46:38.799832
2018,Week 12,10,Ohio State,10-1,2025-08-09T09:46:38.799911
2018,Week 12,11,Florida,8-3,2025-08-09T09:46:38.799990
2018,Week 12,12,Penn State,8-3,2025-08-09T09:46:38.800068
2018,Week 12,13,West Virginia,8-2,2025-08-09T09:46:38.800150
2018,Week 12,14,Texas,8-3,2025-08-09T09:46:38.800229
2018,Week 12,15,Kentucky,8-3,2025-08-09T09:46:38.800309
2018,Week 12,16,Washington,8-3,2025-08-09T09:46:38.800387
2018,Week 12,17,Utah,8-3,2025-08-09T09:46:38.800464
2018,Week 12,18,Mississippi State,7-4,2025-08-09T09:46:38.800543
2018,Week 12,19,Northwestern,7-4,2025-08-09T09:46:38.800621
2018,Week 12,20,Syracuse,8-3,2025-08-09T09:46:38.800699
2018,Week 12,21,Utah State,10-1,2025-08-09T09:46:38.800787
2018,Week 12,22,Texas A&M,7-4,2025-08-09T09:46:38.800867
2018,Week 12,23,Boise State,9-2,2025-08-09T09:46:38.800947
2018,Week 12,24,Pittsburgh,7-4,2025-08-09T09:46:38.801025
2018,Week 12,25,Iowa State,6-4,2025-08-09T09:46:38.801104
2018,Week 13,1,Alabama,12-0,2025-08-09T09:46:28.473513
2018,Week 13,2,Clemson,12-0,2025-08-09T09:46:28.473607
2018,Week 13,3,Notre Dame,12-0,2025-08-09T09:46:28.473688
2018,Week 13,4,Georgia,11-1,2025-08-09T09:46:28.473769
2018,Week 13,5,Oklahoma,11-1,2025-08-09T09:46:28.473848
2018,Week 13,6,Ohio State,11-1,2025-08-09T09:46:28.473928
2018,Week 13,7,Michigan,10-2,2025-08-09T09:46:28.474007
2018,Week 13,8,UCF,11-0,2025-08-09T09:46:28.474085
2018,Week 13,9,Florida,9-3,2025-08-09T09:46:28.474163
2018,Week 13,10,LSU,9-3,2025-08-09T09:46:28.474243
2018,Week 13,11,Washington,9-3,2025-08-09T09:46:28.474321
2018,Week 13,12,Penn State,9-3,2025-08-09T09:46:28.474400
2018,Week 13,13,Washington State,10-2,2025-08-09T09:46:28.474481
2018,Week 13,14,Texas,9-3,2025-08-09T09:46:28.474562
2018,Week 13,15,Kentucky,9-3,2025-08-09T09:46:28.474646
2018,Week 13,16,West Virginia,8-3,2025-08-09T09:46:28.474774
2018,Week 13,17,Utah,9-3,2025-08-09T09:46:28.474856
2018,Week 13,18,Mississippi State,8-4,2025-08-09T09:46:28.474938
2018,Week 13,19,Texas A&M,8-4,2025-08-09T09:46:28.475019
2018,Week 13,20,Syracuse,9-3,2025-08-09T09:46:28.475099
2018,Week 13,21,Northwestern,8-4,2025-08-09T09:46:28.475178
2018,Week 13,22,Boise State,10-2,2025-08-09T09:46:28.475259
2018,Week 13,23,Iowa State,7-4,2025-08-09T09:46:28.475339
2018,Week 13,24,Missouri,8-4,2025-08-09T09:46:28.475420
2018,Week 13,25,Fresno State,10-2,2025-08-09T09:46:28.475502
2018,Week 14,1,Alabama,13-0,2025-08-09T09:46:18.149833
2018,Week 14,2,Clemson,13-0,2025-08-09T09:46:18.149951
2018,Week 14,3,Notre Dame,12-0,2025-08-09T09:46:18.150055
2018,Week 14,4,Oklahoma,12-1,2025-08-09T09:46:18.150157
2018,Week 14,5,Georgia,11-2,2025-08-09T09:46:18.150258
2018,Week 14,6,Ohio State,12-1,2025-08-09T09:46:18.150359
2018,Week 14,7,Michigan,10-2,2025-08-09T09:46:18.150462
2018,Week 14,8,UCF,12-0,2025-08-09T09:46:18.150564
2018,Week 14,9,Washington,10-3,2025-08-09T09:46:18.150665
2018,Week 14,10,Florida,9-3,2025-08-09T09:46:18.150767
2018,Week 14,11,LSU,9-3,2025-08-09T09:46:18.150869
2018,Week 14,12,Penn State,9-3,2025-08-09T09:46:18.150971
2018,Week 14,13,Washington State,10-2,2025-08-09T09:46:18.151073
2018,Week 14,14,Kentucky,9-3,2025-08-09T09:46:18.151175
2018,Week 14,15,Texas,9-4,2025-08-09T09:46:18.151276
2018,Week 14,16,West Virginia,8-3,2025-08-09T09:46:18.151378
2018,Week 14,17,Utah,9-4,2025-08-09T09:46:18.151480
2018,Week 14,18,Mississippi State,8-4,2025-08-09T09:46:18.151585
2018,Week 14,19,Texas A&M,8-4,2025-08-09T09:46:18.151686
2018,Week 14,20,Syracuse,9-3,2025-08-09T09:46:18.151789
2018,Week 14,21,Fresno State,11-2,2025-08-09T09:46:18.151891
2018,Week 14,22,Northwestern,8-5,2025-08-09T09:46:18.151992
2018,Week 14,23,Missouri,8-4,2025-08-09T09:46:18.152093
2018,Week 14,24,Iowa State,8-4,2025-08-09T09:46:18.152195
2018,Week 14,25,Boise State,10-3,2025-08-09T09:46:18.152296
2019,Week 10,1,Ohio State,8-0,2025-08-09T09:45:54.053810
2019,Week 10,2,LSU,8-0,2025-08-09T09:45:54.053908
2019,Week 10,3,Alabama,8-0,2025-08-09T09:45:54.053995
2019,Week 10,4,Penn State,8-0,2025-08-09T09:45:54.054079
2019,Week 10,5,Clemson,9-0,2025-08-09T09:45:54.054162
2019,Week 10,6,Georgia,7-1,2025-08-09T09:45:54.054243
2019,Week 10,7,Oregon,8-1,2025-08-09T09:45:54.054325
2019,Week 10,8,Utah,8-1,2025-08-09T09:45:54.054406
2019,Week 10,9,Oklahoma,7-1,2025-08-09T09:45:54.054488
2019,Week 10,10,Florida,7-2,2025-08-09T09:45:54.054569
2019,Week 10,11,Auburn,7-2,2025-08-09T09:45:54.054650
2019,Week 10,12,Baylor,8-0,2025-08-09T09:45:54.054731
2019,Week 10,13,Wisconsin,6-2,2025-08-09T09:45:54.054812
2019,Week 10,14,Michigan,7-2,2025-08-09T09:45:54.054893
2019,Week 10,15,Notre Dame,6-2,2025-08-09T09:45:54.054976
2019,Week 10,16,Kansas State,6-2,2025-08-09T09:45:54.055057
2019,Week 10,17,Minnesota,8-0,2025-08-09T09:45:54.055139
2019,Week 10,18,Iowa,6-2,2025-08-09T09:45:54.055221
2019,Week 10,19,Wake Forest,7-1,2025-08-09T09:45:54.055302
2019,Week 10,20,Cincinnati,7-1,2025-08-09T09:45:54.055383
2019,Week 10,21,Memphis,8-1,2025-08-09T09:45:54.055464
2019,Week 10,22,Boise State,7-1,2025-08-09T09:45:54.055544
2019,Week 10,23,Oklahoma State,6-3,2025-08-09T09:45:54.055638
2019,Week 10,24,Navy,7-1,2025-08-09T09:45:54.055721
2019,Week 10,25,SMU,8-1,2025-08-09T09:45:54.055805
2019,Week 11,1,LSU,9-0,2025-08-09T09:45:43.739567
2019,Week 11,2,Ohio State,9-0,2025-08-09T09:45:43.739668
2019,Week 11,3,Clemson,10-0,2025-08-09T09:45:43.739754
2019,Week 11,4,Georgia,8-1,2025-08-09T09:45:43.739838
2019,Week 11,5,Alabama,8-1,2025-08-09T09:45:43.739922
2019,Week 11,6,Oregon,8-1,2025-08-09T09:45:43.740005
2019,Week 11,7,Utah,8-1,2025-08-09T09:45:43.740087
2019,Week 11,8,Minnesota,9-0,2025-08-09T09:45:43.740171
2019,Week 11,9,Penn State,8-1,2025-08-09T09:45:43.740260
2019,Week 11,10,Oklahoma,8-1,2025-08-09T09:45:43.740348
2019,Week 11,11,Florida,8-2,2025-08-09T09:45:43.740438
2019,Week 11,12,Auburn,7-2,2025-08-09T09:45:43.740525
2019,Week 11,13,Baylor,9-0,2025-08-09T09:45:43.740703
2019,Week 11,14,Wisconsin,7-2,2025-08-09T09:45:43.740810
2019,Week 11,15,Michigan,7-2,2025-08-09T09:45:43.740901
2019,Week 11,16,Notre Dame,7-2,2025-08-09T09:45:43.740985
2019,Week 11,17,Cincinnati,8-1,2025-08-09T09:45:43.741069
2019,Week 11,18,Memphis,8-1,2025-08-09T09:45:43.741153
2019,Week 11,19,Texas,6-3,2025-08-09T09:45:43.741238
2019,Week 11,20,Iowa,6-3,2025-08-09T09:45:43.741322
2019,Week 11,21,Boise State,8-1,2025-08-09T09:45:43.741406
2019,Week 11,22,Oklahoma State,6-3,2025-08-09T09:45:43.741490
2019,Week 11,23,Navy,7-1,2025-08-09T09:45:43.741575
2019,Week 11,24,Kansas State,6-3,2025-08-09T09:45:43.741659
2019,Week 11,25,Appalachian State,8-1,2025-08-09T09:45:43.741743
2019,Week 12,1,LSU,10-0,2025-08-09T09:45:33.408525
2019,Week 12,2,Ohio State,10-0,2025-08-09T09:45:33.408630
2019,Week 12,3,Clemson,11-0,2025-08-09T09:45:33.408822
2019,Week 12,4,Georgia,9-1,2025-08-09T09:45:33.408919
2019,Week 12,5,Alabama,9-1,2025-08-09T09:45:33.409005
2019,Week 12,6,Oregon,9-1,2025-08-09T09:45:33.409088
2019,Week 12,7,Utah,9-1,2025-08-09T09:45:33.409173
2019,Week 12,8,Penn State,9-1,2025-08-09T09:45:33.409257
2019,Week 12,9,Oklahoma,9-1,2025-08-09T09:45:33.409342
2019,Week 12,10,Minnesota,9-1,2025-08-09T09:45:33.409429
2019,Week 12,11,Florida,9-2,2025-08-09T09:45:33.409516
2019,Week 12,12,Wisconsin,8-2,2025-08-09T09:45:33.409599
2019,Week 12,13,Michigan,8-2,2025-08-09T09:45:33.409684
2019,Week 12,14,Baylor,9-1,2025-08-09T09:45:33.409766
2019,Week 12,15,Auburn,7-3,2025-08-09T09:45:33.409851
2019,Week 12,16,Notre Dame,8-2,2025-08-09T09:45:33.409934
2019,Week 12,17,Iowa,7-3,2025-08-09T09:45:33.410019
2019,Week 12,18,Memphis,9-1,2025-08-09T09:45:33.410106
2019,Week 12,19,Cincinnati,9-1,2025-08-09T09:45:33.410192
2019,Week 12,20,Boise State,9-1,2025-08-09T09:45:33.410275
2019,Week 12,21,Oklahoma State,7-3,2025-08-09T09:45:33.410361
2019,Week 12,22,Iowa State,6-4,2025-08-09T09:45:33.410444
2019,Week 12,23,Southern California,7-4,2025-08-09T09:45:33.410536
2019,Week 12,24,Appalachian State,9-1,2025-08-09T09:45:33.410619
2019,Week 12,25,SMU,9-1,2025-08-09T09:45:33.410703
2019,Week 13,1,Ohio State,11-0,2025-08-09T09:45:23.089853
2019,Week 13,2,LSU,11-0,2025-08-09T09:45:23.089946
2019,Week 13,3,Clemson,11-0,2025-08-09T09:45:23.090026
2019,Week 13,4,Georgia,10-1,2025-08-09T09:45:23.090106
2019,Week 13,5,Alabama,10-1,2025-08-09T09:45:23.090185
2019,Week 13,6,Utah,10-1,2025-08-09T09:45:23.090264
2019,Week 13,7,Oklahoma,10-1,2025-08-09T09:45:23.090342
2019,Week 13,8,Minnesota,10-1,2025-08-09T09:45:23.090420
2019,Week 13,9,Baylor,10-1,2025-08-09T09:45:23.090498
2019,Week 13,10,Penn State,9-2,2025-08-09T09:45:23.090576
2019,Week 13,11,Florida,9-2,2025-08-09T09:45:23.090654
2019,Week 13,12,Wisconsin,9-2,2025-08-09T09:45:23.090732
2019,Week 13,13,Michigan,9-2,2025-08-09T09:45:23.090847
2019,Week 13,14,Oregon,9-2,2025-08-09T09:45:23.090963
2019,Week 13,15,Auburn,8-3,2025-08-09T09:45:23.091079
2019,Week 13,16,Notre Dame,9-2,2025-08-09T09:45:23.091159
2019,Week 13,17,Iowa,8-3,2025-08-09T09:45:23.091238
2019,Week 13,18,Memphis,10-1,2025-08-09T09:45:23.091347
2019,Week 13,19,Cincinnati,10-1,2025-08-09T09:45:23.091445
2019,Week 13,20,Boise State,10-1,2025-08-09T09:45:23.091527
2019,Week 13,21,Oklahoma State,8-3,2025-08-09T09:45:23.091607
2019,Week 13,22,Southern California,8-4,2025-08-09T09:45:23.091687
2019,Week 13,23,Iowa State,7-4,2025-08-09T09:45:23.091769
2019,Week 13,24,Virginia Tech,8-3,2025-08-09T09:45:23.091848
2019,Week 13,25,Appalachian State,10-1,2025-08-09T09:45:23.091928
2019,Week 14,1,Ohio State,12-0,2025-08-09T09:45:12.708178
2019,Week 14,2,LSU,12-0,2025-08-09T09:45:12.708343
2019,Week 14,3,Clemson,12-0,2025-08-09T09:45:12.708443
2019,Week 14,4,Georgia,11-1,2025-08-09T09:45:12.708526
2019,Week 14,5,Utah,11-1,2025-08-09T09:45:12.708608
2019,Week 14,6,Oklahoma,11-1,2025-08-09T09:45:12.708691
2019,Week 14,7,Baylor,11-1,2025-08-09T09:45:12.708773
2019,Week 14,8,Wisconsin,10-2,2025-08-09T09:45:12.708855
2019,Week 14,9,Florida,10-2,2025-08-09T09:45:12.708938
2019,Week 14,10,Penn State,10-2,2025-08-09T09:45:12.709020
2019,Week 14,11,Auburn,9-3,2025-08-09T09:45:12.709103
2019,Week 14,12,Alabama,10-2,2025-08-09T09:45:12.709185
2019,Week 14,13,Oregon,10-2,2025-08-09T09:45:12.709269
2019,Week 14,14,Michigan,9-3,2025-08-09T09:45:12.709406
2019,Week 14,15,Notre Dame,10-2,2025-08-09T09:45:12.709538
2019,Week 14,16,Iowa,9-3,2025-08-09T09:45:12.709623
2019,Week 14,17,Memphis,11-1,2025-08-09T09:45:12.709707
2019,Week 14,18,Minnesota,10-2,2025-08-09T09:45:12.709842
2019,Week 14,19,Boise State,11-1,2025-08-09T09:45:12.709941
2019,Week 14,20,Cincinnati,10-2,2025-08-09T09:45:12.710058
2019,Week 14,21,Appalachian State,11-1,2025-08-09T09:45:12.710226
2019,Week 14,22,Southern California,8-4,2025-08-09T09:45:12.710342
2019,Week 14,23,Virginia,9-3,2025-08-09T09:45:12.710518
2019,Week 14,24,Navy,9-2,2025-08-09T09:45:12.710643
2019,Week 14,25,Oklahoma State,8-4,2025-08-09T09:45:12.710815
2019,Week 15,1,LSU,13-0,2025-08-09T09:45:02.310921
2019,Week 15,2,Ohio State,13-0,2025-08-09T09:45:02.311034
2019,Week 15,3,Clemson,13-0,2025-08-09T09:45:02.311125
2019,Week 15,4,Oklahoma,12-1,2025-08-09T09:45:02.311211
2019,Week 15,5,Georgia,11-2,2025-08-09T09:45:02.311319
2019,Week 15,6,Oregon,11-2,2025-08-09T09:45:02.311421
2019,Week 15,7,Baylor,11-2,2025-08-09T09:45:02.311508
2019,Week 15,8,Wisconsin,10-3,2025-08-09T09:45:02.311593
2019,Week 15,9,Florida,10-2,2025-08-09T09:45:02.311676
2019,Week 15,10,Penn State,10-2,2025-08-09T09:45:02.311760
2019,Week 15,11,Utah,11-2,2025-08-09T09:45:02.311844
2019,Week 15,12,Auburn,9-3,2025-08-09T09:45:02.311927
2019,Week 15,13,Alabama,10-2,2025-08-09T09:45:02.312031
